OBJECTID,GPS_DATE,REASONCODE,SIGNCLASS,SIGNTYPE,FACETYPE,SIGNSIZE,DIRFACING,SIDEOFSTREET,SUPPORTBASE,SUPPORTMATERIAL,SUPPORTTYPE,OWNER,COMMENTS,X_COORD,Y_COORD,GISOBJID,D7IDESCRIPTION,D7IASSIGNEDTO,D7IDATECREATED,D7IDATEMODIFIED,D7IDATEINACTIVE,D7IEQUIPMENTID,D7IPARENTID,Shape
98,9/26/2019,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,EAST,Null,Null,Null,Null,STATE,Null,1715721,849299,298038,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20005544,10156076,Point
110,9/26/2019,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,WEST,Null,Null,Null,Null,CITY,Null,1715456,847962,298051,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20005557,10156279,Point
124,2/6/2020,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,NORTH,Null,Null,Null,Null,CITY,Null,1772458,850330,299116,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20006622,10157880,Point
125,2/6/2020,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,NORTH,Null,Null,Null,Null,CITY,Null,1772458,850330,299117,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20006623,10157880,Point
129,2/6/2020,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,NORTH,Null,Null,Null,Null,CITY,Null,1771621,849375,299121,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20006627,10157883,Point
130,2/6/2020,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,NORTH,Null,Null,Null,Null,CITY,Null,1771621,849375,299122,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20006628,10157883,Point
383,10/3/2019,Null,MISCELLANEOUS,BUS-1; FIXED ROUTE,ENGINEER GRADE,12 X 18,NORTH,Null,Null,Null,Null,CITY,Null,1731007,846736,298287,Street Sign Position: BUS-1; fixed route (rt 9),0,12/15/2015,Null,Null,20005793,10155577,Point
532,9/25/2019,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,EAST,Null,Null,Null,Null,CITY,Null,1709191,855623,298422,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20005928,10155895,Point
569,2/6/2020,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,SOUTH,Null,Null,Null,Null,CITY,Null,1769396,849138,299047,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20006553,10157833,Point
570,2/6/2020,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,SOUTH,Null,Null,Null,Null,CITY,Null,1770261,850182,299048,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20006554,10157834,Point
571,2/6/2020,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,SOUTH,Null,Null,Null,Null,CITY,Null,1770261,850182,299049,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20006555,10157834,Point
572,2/6/2020,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,SOUTH,Null,Null,Null,Null,CITY,Null,1770600,850833,299050,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20006556,10157835,Point
573,2/6/2020,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,SOUTH,Null,Null,Null,Null,CITY,Null,1770600,850833,299051,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20006557,10157835,Point
616,9/25/2019,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,SOUTH,Null,Null,Null,Null,CITY,Null,1712096,851773,298872,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20006378,10156524,Point
816,9/11/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,EAST,Null,Null,Null,Null,CITY,Null,1768302,847462,300223,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20007729,10157035,Point
822,1/8/2019 6:52:15 PM,MODIFICATION,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,EAST,Null,Null,Null,Null,CITY,Null,1764904,844593,299733,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,1/8/2019 6:52:17 PM,20007239,10156157,Point
1007,9/26/2019,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,WEST,Null,Null,Null,Null,STATE,Null,1714586,863819,298190,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20005696,10155805,Point
1071,10/10/2019,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,WEST,Null,Null,Null,Null,STATE,Null,1720365,847839,298751,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20006257,10156299,Point
1290,10/1/2019,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,EAST,Null,Null,Null,Null,CITY,Null,1717861,861414,297523,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20005029,10155740,Point
1491,10/1/2019,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,WEST,Null,Null,Null,Null,CITY,Null,1719155,862293,298116,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20005622,10155756,Point
1582,9/26/2019,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,SOUTH,Null,Null,Null,Null,STATE,Null,1713071,848971,298019,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20005525,10156060,Point
1652,1/21/2004,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,NORTH,Null,Null,Null,Null,STATE,Null,1720735,846060,298722,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20006228,10155976,Point
1736,10/1/2019,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,SOUTH,Null,Null,Null,Null,STATE,Null,1727076,843850,298546,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20006052,10156007,Point
1759,9/2/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,NORTH,Null,Null,Null,Null,CITY,Null,1765595,843498,298631,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20006137,10156568,Point
1760,9/2/2003,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,NORTH,Null,Null,Null,Null,CITY,Null,1765595,843498,298632,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20006138,10156568,Point
1784,9/3/2003,Null,REGULATORY,R7-45L; NPAT LT BUS STOP,HIGH INTENSITY,12 X 30,WEST,Null,Null,Null,Null,CITY,Null,1766391,844666,298657,Street Sign Position: R7-45L; left arrow,0,12/15/2015,Null,Null,20006163,10156587,Point
1785,9/3/2003,Null,REGULATORY,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,WEST,Null,Null,Null,Null,CITY,Null,1766391,844666,298658,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20006164,10156587,Point
1786,9/3/2003,Null,REGULATORY,R7-45R; NPAT RT BUS STOP,HIGH INTENSITY,12 X 30,WEST,Null,Null,Null,Null,CITY,Null,1766415,844637,298659,Street Sign Position: R7-45R; right arrow,0,12/15/2015,Null,Null,20006165,10156588,Point
1799,9/17/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,NORTH,Null,Null,Null,Null,CITY,Null,1766542,847935,299034,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20006540,10157474,Point
1800,9/17/2003,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,NORTH,Null,Null,Null,Null,CITY,Null,1766542,847935,299035,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20006541,10157474,Point
1852,9/17/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,EAST,Null,Null,Null,Null,CITY,Null,1765126,846695,298996,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20006502,10157443,Point
1853,9/17/2003,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,EAST,Null,Null,Null,Null,CITY,Null,1765126,846695,298997,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20006503,10157443,Point
1854,9/17/2003,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,EAST,Null,Null,Null,Null,CITY,Null,1765126,846695,298998,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20006504,10157443,Point
1871,9/17/2003,Null,REGULATORY,R7-45L; NPAT LT BUS STOP,HIGH INTENSITY,12 X 30,NORTH,Null,Null,Null,Null,CITY,Null,1765738,846752,299016,Street Sign Position: R7-45L; left arrow,0,12/15/2015,Null,Null,20006522,10157459,Point
1872,9/17/2003,Null,REGULATORY,R7-45R; NPAT RT BUS STOP,HIGH INTENSITY,12 X 30,NORTH,Null,Null,Null,Null,CITY,Null,1765726,846679,299017,Street Sign Position: R7-45R; right arrow,0,12/15/2015,Null,Null,20006523,10157460,Point
2026,10/3/2019,Null,MISCELLANEOUS,BUS-1; FIXED ROUTE,ENGINEER GRADE,12 X 18,NORTH,Null,Null,Null,Null,CITY,Null,1730967,845713,299247,Street Sign Position: BUS-1; fixed route (rt 9),0,12/15/2015,Null,Null,20006753,10155590,Point
2034,10/3/2019,Null,MISCELLANEOUS,BUS-1; FIXED ROUTE,ENGINEER GRADE,12 X 18,NORTH,Null,Null,Null,Null,CITY,Null,1730982,844563,299257,Street Sign Position: BUS-1; fixed route (rt 9),0,12/15/2015,Null,Null,20006763,10155597,Point
2065,10/3/2019,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,NORTH,Null,Null,Null,Null,CITY,Null,1731100,843500,299266,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20006772,10155605,Point
2081,9/4/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,EAST,Null,Null,Null,Null,CITY,Null,1765694,844830,299754,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20007260,10156174,Point
2082,9/4/2003,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,EAST,Null,Null,Null,Null,CITY,Null,1765694,844830,299755,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20007261,10156174,Point
2122,9/11/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,SOUTH,Null,Null,Null,Null,CITY,Null,1765423,847286,300325,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20007831,10157137,Point
2125,9/11/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,WEST,Null,Null,Null,Null,CITY,Null,1765780,847254,300328,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20007834,10157140,Point
2292,9/4/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,WEST,Null,Null,Null,Null,CITY,Null,1765743,844756,299866,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20007372,10156224,Point
2363,9/11/2003,Null,REGULATORY,R7-45R; NPAT RT BUS STOP,ENGINEER GRADE,12 X 30,SOUTH,Null,Null,Null,Null,CITY,Null,1765440,847747,300263,Street Sign Position: R7-45R; right arrow,0,12/15/2015,Null,Null,20007769,10157068,Point
2460,9/9/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,NORTH,Null,Null,Null,Null,CITY,Null,1767548,847822,300118,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20007624,10156825,Point
2505,9/9/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,SOUTH,Null,Null,Null,Null,CITY,Null,1767464,847694,299800,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20007306,10156817,Point
2535,9/15/2003,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,EAST,Null,Null,Null,Null,CITY,Null,1766054,846629,300362,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20007868,10157248,Point
2576,9/9/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,EAST,Null,Null,Null,Null,CITY,Null,1764468,846739,300063,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20007569,10156766,Point
2577,9/9/2003,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,EAST,Null,Null,Null,Null,CITY,Null,1764468,846739,300064,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20007570,10156766,Point
2578,9/9/2003,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,EAST,Null,Null,Null,Null,CITY,Null,1764468,846739,300065,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20007571,10156766,Point
2659,9/15/2003,Null,REGULATORY,R7-45L; NPAT LT BUS STOP,HIGH INTENSITY,12 X 30,NORTH,Null,Null,Null,Null,CITY,Null,1766119,847344,300570,Street Sign Position: R7-45L; left arrow,0,12/15/2015,Null,Null,20008076,10157239,Point
2660,9/15/2003,Null,REGULATORY,R7-45R; NPAT RT BUS STOP,HIGH INTENSITY,12 X 30,NORTH,Null,Null,Null,Null,CITY,Null,1766111,847286,300571,Street Sign Position: R7-45R; right arrow,0,12/15/2015,Null,Null,20008077,10157240,Point
2661,9/15/2003,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,NORTH,Null,Null,Null,Null,CITY,Null,1766111,847286,300572,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20008078,10157240,Point
2671,9/15/2003,Null,MISCELLANEOUS,BUS-2; BUS W EXTD SV,ENGINEER GRADE,12 X 24,NORTH,Null,Null,Null,Null,CITY,Null,1767499,847030,300582,Street Sign Position: BUS-2; BUS W EXTD SV,0,12/15/2015,Null,Null,20008088,10156867,Point
2679,9/9/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,NORTH,Null,Null,Null,Null,CITY,Null,1766581,848544,300133,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20007639,10156836,Point
2680,9/9/2003,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,NORTH,Null,Null,Null,Null,CITY,Null,1766581,848544,300134,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20007640,10156836,Point
2711,9/17/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,EAST,Null,Null,Null,Null,CITY,Null,1766000,846621,300720,Street Sign Position: BUS; gta bus stop (d),0,12/15/2015,Null,Null,20008226,10157440,Point
2712,9/17/2003,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,EAST,Null,Null,Null,Null,CITY,Null,1766000,846621,300721,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20008227,10157440,Point
2716,9/12/2003,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,WEST,Null,Null,Null,Null,STATE,Null,1764664,846315,300535,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20008041,10157210,Point
2717,9/12/2003,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,WEST,Null,Null,Null,Null,STATE,Null,1764664,846315,300536,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20008042,10157210,Point
2726,2/6/2020,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,SOUTH,Null,Null,Null,Null,CITY,Null,1769973,849632,300408,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20007914,10157749,Point
2757,9/11/2003,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,EAST,Null,Null,Null,Null,CITY,Null,1768302,847462,300224,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20007730,10157035,Point
2762,9/11/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,EAST,Null,Null,Null,Null,CITY,Null,1767601,847472,300229,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20007735,10157040,Point
2770,9/11/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,EAST,Null,Null,Null,Null,CITY,Null,1766847,847735,300237,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20007743,10157047,Point
2819,9/12/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,WEST,Null,Null,Null,Null,STATE,Null,1764664,846315,300534,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20008040,10157210,Point
2840,9/15/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,NORTH,Null,Null,Null,Null,CITY,Null,1767414,845647,300595,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20008101,10156877,Point
2841,9/15/2003,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,NORTH,Null,Null,Null,Null,CITY,Null,1767414,845647,300596,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20008102,10156877,Point
2959,2/6/2020,Null,REGULATORY,R7-45R; NPAT RT BUS STOP,ENGINEER GRADE,12 X 36,EAST,Null,Null,Null,Null,CITY,Null,1769350,850103,300862,Street Sign Position: R7-45R; right arrow (time h w yy),0,12/15/2015,Null,Null,20008368,10157430,Point
2960,2/6/2020,Null,REGULATORY,R7-45L; NPAT LT BUS STOP,ENGINEER GRADE,12 X 36,EAST,Null,Null,Null,Null,CITY,Null,1769395,850180,300863,Street Sign Position: R7-45L; left arrow (h/w/yy),0,12/15/2015,Null,Null,20008369,10157431,Point
2963,9/16/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,SOUTH,Null,Null,Null,Null,CITY,Null,1766880,846906,300634,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20008140,10156909,Point
2964,9/16/2003,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,SOUTH,Null,Null,Null,Null,CITY,Null,1766880,846906,300635,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20008141,10156909,Point
2979,9/17/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,EAST,Null,Null,Null,Null,CITY,Null,1767382,846522,300650,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20008156,10157257,Point
3011,9/17/2003,Null,REGULATORY,R7-45L; NPAT LT BUS STOP,HIGH INTENSITY,12 X 30,NORTH,Null,Null,Null,Null,CITY,Null,1765383,847704,300682,Street Sign Position: R7-45L; left arrow,0,12/15/2015,Null,Null,20008188,10157288,Point
3012,9/17/2003,Null,REGULATORY,R7-45R; NPAT RT BUS STOP,HIGH INTENSITY,12 X 30,NORTH,Null,Null,Null,Null,CITY,Null,1765380,847671,300683,Street Sign Position: R7-45R; right arrow,0,12/15/2015,Null,Null,20008189,10157289,Point
3014,9/17/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,NORTH,Null,Null,Null,Null,CITY,Null,1765353,846887,300685,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20008191,10157291,Point
3016,2/6/2020,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,NORTH,Null,Null,Null,Null,CITY,Null,1769951,849703,300412,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20007918,10157752,Point
3054,6/3/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,SOUTH,Null,Null,Null,Null,CITY,Null,1768555,846203,301127,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20008633,10157573,Point
3056,6/3/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,SOUTH,Null,Null,Null,Null,CITY,Null,1768590,846820,301129,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20008635,10157575,Point
3072,2/6/2020,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,WEST,Null,Null,Null,Null,CITY,Null,1770519,848511,301331,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20008837,10158026,Point
3128,2/12/2020 6:54:04 PM,Null,REGULATORY,R7-45L; NPAT LT BUS STOP,ENGINEER GRADE,12 X 30,WEST,Null,Null,Null,Null,CITY,P,1765664,846239,300757,Street Sign Position: R7-45L; left arrow,0,12/15/2015,Null,Null,20008263,10157351,Point
3130,9/22/2003,Null,REGULATORY,R7-45R; NPAT RT BUS STOP,ENGINEER GRADE,12 X 30,WEST,Null,Null,Null,Null,CITY,Null,1765753,846232,300759,Street Sign Position: R7-45R; right arrow,0,12/15/2015,Null,Null,20008265,10157353,Point
3131,2/12/2020 6:57:53 PM,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,WEST,Null,Null,Null,Null,CITY,P,1765753,846232,300760,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20008266,10157353,Point
3132,9/22/2003,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,WEST,Null,Null,Null,Null,CITY,Null,1765753,846232,300761,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20008267,10157353,Point
3133,9/22/2003,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,WEST,Null,Null,Null,Null,CITY,Null,1765753,846232,300762,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20008268,10157353,Point
3160,2/6/2020,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,EAST,Null,Null,Null,Null,CITY,Null,1770949,848809,301377,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20008883,10158128,Point
3161,2/6/2020,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,EAST,Null,Null,Null,Null,CITY,Null,1770949,848809,301378,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20008884,10158128,Point
3281,2/6/2020,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,NORTH,Null,Null,Null,Null,CITY,Null,1770728,851287,300920,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20008426,10157524,Point
3284,6/3/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,NORTH,Null,Null,Null,Null,CITY,Null,1770550,850953,300923,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20008429,10157527,Point
3298,6/3/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,WEST,Null,Null,Null,Null,STATE,Null,1776369,847582,300937,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20008443,10157684,Point
3299,6/3/2003,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,WEST,Null,Null,Null,Null,STATE,Null,1776369,847582,300938,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20008444,10157684,Point
3300,6/3/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,EAST,Null,Null,Null,Null,STATE,Null,1777835,848507,300939,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20008445,10157685,Point
3302,6/3/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,EAST,Null,Null,Null,Null,STATE,Null,1777340,848207,300941,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20008447,10157687,Point
3306,6/3/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,EAST,Null,Null,Null,Null,STATE,Null,1776366,847666,300945,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20008451,10157690,Point
3309,2/5/2020,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,EAST,Null,Null,Null,Null,CITY,Null,1774229,846720,300948,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20008454,10157692,Point
3336,2/5/2020,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,EAST,Null,Null,Null,Null,CITY,Null,1772223,846295,300975,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20008481,10157535,Point
3343,6/3/2003,Null,REGULATORY,R7-45L; NPAT LT BUS STOP,ENGINEER GRADE,12 X 30,EAST,Null,Null,Null,Null,CITY,Null,1771578,846073,300982,Street Sign Position: R7-45L; left arrow,0,12/15/2015,Null,Null,20008488,10157539,Point
3344,6/3/2003,Null,REGULATORY,R7-45R; NPAT RT BUS STOP,ENGINEER GRADE,12 X 30,EAST,Null,Null,Null,Null,CITY,Null,1771522,846049,300983,Street Sign Position: R7-45R; right arrow,0,12/15/2015,Null,Null,20008489,10157540,Point
3345,6/3/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,EAST,Null,Null,Null,Null,CITY,Null,1771522,846049,300984,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20008490,10157540,Point
3376,9/17/2003,Null,REGULATORY,R7-45L; NPAT LT BUS STOP,HIGH INTENSITY,12 X 30,SOUTH,Null,Null,Null,Null,CITY,Null,1765437,847659,300707,Street Sign Position: R7-45L; left arrow,0,12/15/2015,Null,Null,20008213,10157309,Point
3416,2/6/2020,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,SOUTH,Null,Null,Null,Null,CITY,Null,1771546,849200,301050,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20008556,10158086,Point
3450,6/3/2003,Null,REGULATORY,R7-45R; NPAT RT BUS STOP,ENGINEER GRADE,12 X 30,EAST,Null,Null,Null,Null,CITY,Null,1770313,845873,301086,Street Sign Position: R7-45R; right arrow,0,12/15/2015,Null,Null,20008592,10157543,Point
