OBJECTID,Neighborhood,Tax_ID,Address,Owner_Agency,Acquisition_Date,Purchase_Price,Funding_Source,CONDEMNED,RESTRICTIONS,Current_Use,Sq_Footage,Mowable_Sq_Footage,Zoning,Deed_Book,Deed_Page,Property_Description,Notes,Neighborhood_Plan,Available_For_Sale,Disposotion_Date,ORIG_FID,More_Details,GlobalID,SHAPE
39,S. Elm Street,0001389,107 W. Bragg St,Redevelopment Commission of Greensboro,3/10/2007,30000,Null,No,Yes,Vacant Lot,22075.103561,22780,CD-CB,006704,02406,.52AC 2 PB109-133 ST JAMES HOME,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25718,Yes,Null,43,Subject to Development Agreement,{542D48C3-68BB-475D-B585-C58BD928C21F},Point
40,S. Elm Street,0000510,121-123 W. Gate City Blvd,Redevelopment Commission of Greensboro,6/26/2007,100000,108/BEDI,No,Yes,Vacant Lot,2243.742297,2400,CD-CB,006746,00073,1 LOT,2 LOTS PURCHASED TOGETHER,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25718,Yes,Null,44,Subject to Development Agreement,{5592B03E-85C5-4C0A-BEF7-6717756EA854},Point
41,S. Elm Street,0001148,518 Arlington St,Redevelopment Commission of Greensboro,11/6/2013,Null,Null,No,Yes,Vacant Lot,9274.507653,4500,CD-CB,006747,00094,EDEVELOPMENT COMMISSION OF GREENSBORO,LAND SWAP NO PURCHASE PRICE,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25718,Yes,Null,46,Subject to Development Agreement,{7CE151CA-F9BB-4A99-8769-F36605670387},Point
42,S. Elm Street,0000500,700 S. Elm St,Redevelopment Commission of Greensboro,6/22/2006,225000,108,No,Yes,Vacant Lot,23911.595972,162300,CD-CB,006550,02481,SOUTH ELM ST & WEST LEE,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25718,Yes,Null,47,Subject to Development Agreement,{21FFAD2E-4BA0-4D83-AFF4-DC72EE0EF260},Point
43,Willow Oaks,0010665,1520 McConnell Rd,Redevelopment Commission of Greensboro,7/28/2000,37000,HOME,No,Yes,Vacant Lot,4238.85449,4435,RM-18,005054,01041,PT 14-15 BC PB5-395 NOCHO PARK,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,48,Null,{64DE3ABA-BD3F-478C-AA03-B1DCC33453B0},Point
44,Willow Oaks,0010604,1723 McConnell Rd,Redevelopment Commission of Greensboro,1/6/2003,Null,HOME,No,Yes,Vacant Lot,16026.911588,8463,TN,005717,01738,33 PV 172-17 CIVIC SITE WILLOW OAKS,1721 MCCONNELL RD,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,49,Null,{9C1129CC-0D8E-4EEE-8FAE-CFCF37667BCB},Point
45,Willow Oaks,0010632,1600 McConnell Rd,Redevelopment Commission of Greensboro,12/14/2004,10000,108,Null,Yes,Vacant Lot,4854.494717,5544,RM-18,006233,01597,21 BC PB5-395,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,50,Null,{3F787530-C366-42ED-95A6-01C62159C3AF},Point
46,Willow Oaks,0010633,1602 McConnell Rd,Redevelopment Commission of Greensboro,12/31/2013,4100,Null,No,Yes,Vacant Lot,7493,7493,RM-18,007562,03024,BC PB 5-395,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,51,Null,{9D3174A4-D396-49C6-9DBE-9F66A8D9178D},Point
47,Willow Oaks,0010634,1604 McConnell Rd,Redevelopment Commission of Greensboro,12/31/2013,4100,Null,No,Yes,Vacant Lot,5445.382732,5545,RM-18,007562,03024,BC PB5-395 HARRIS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,52,Null,{4BD5FB2F-5115-4070-8B52-7B550D2FC027},Point
51,Willow Oaks,0013462,1901 McConnell Rd,Redevelopment Commission of Greensboro,10/5/2001,Null,108,No,Yes,Vacant Lot,5216.614372,5017,TN,005340,01575,38 ZONE C SH1 PB 169-132 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,56,Null,{D818B864-1872-45EA-AF72-0EFF23D76B47},Point
